# M159 Paper Data — Philemon-TSH SOTA Baseline Comparison
# Generated by m159_m160_paper_tables.cpp (live experiment run)
# Graph: RMAT (a=0.57,b=0.19,c=0.19,d=0.05), edge_factor=16, seed=42
#
# Table 1: Algorithm Latency (ms)
scale,vertices,edges,algo,system,latency_ms,reachable,extra
14,16384,261788,BFS,CSR,0.72,10946,
14,16384,261788,BFS,Philemon,0.71,10987,switches=2
14,16384,261788,PR,CSR,6.03,16384,iters=20
14,16384,261788,PR,Philemon,9.94,16384,iters=20;L1=1.87e-04;Linf=3.90e-06
14,16384,261788,SSSP,CSR,4.30,10946,
14,16384,261788,SSSP,Philemon,4.84,10946,relaxations=259261
14,16384,261788,WCC,CSR,3.08,16384,
14,16384,261788,WCC,Philemon,2.79,16384,components=3846
16,65536,1048054,BFS,CSR,3.93,40330,
16,65536,1048054,BFS,Philemon,3.26,40316,switches=2
16,65536,1048054,PR,CSR,32.97,65536,iters=20
16,65536,1048054,PR,Philemon,42.91,65536,iters=20;L1=1.69e-04;Linf=2.07e-06
16,65536,1048054,SSSP,CSR,21.41,40330,
16,65536,1048054,SSSP,Philemon,24.81,40330,relaxations=1038410
16,65536,1048054,WCC,CSR,13.29,65536,
16,65536,1048054,WCC,Philemon,12.24,65536,components=18809
18,262144,4193529,BFS,CSR,22.42,148434,
18,262144,4193529,BFS,Philemon,14.43,148649,switches=2
18,262144,4193529,PR,CSR,178.52,262144,iters=20
18,262144,4193529,PR,Philemon,241.22,262144,iters=20;L1=1.57e-04;Linf=1.11e-06
18,262144,4193529,SSSP,CSR,110.96,148434,
18,262144,4193529,SSSP,Philemon,112.23,148434,relaxations=4154943
18,262144,4193529,WCC,CSR,62.38,262144,
18,262144,4193529,WCC,Philemon,58.88,262144,components=87917
#
# Table 2: Tier Distribution
scale,vertices,total_edges,tier_dram,tier_ssd,tier_hdd,pct_dram,pct_ssd,pct_hdd
14,16384,261788,256563,5225,0,98.0,2.0,0.0
16,65536,1048054,1028007,20047,0,98.1,1.9,0.0
18,262144,4193529,4115698,77831,0,98.1,1.9,0.0
#
# Table 3: Slowdown + Memory
scale,bfs_slowdown,pr_slowdown,sssp_slowdown,wcc_slowdown,rss_mb
14,0.99,1.65,1.13,0.90,22.0
16,0.83,1.30,1.16,0.92,75.8
18,0.64,1.35,1.01,0.94,301.6
