# M161 Paper Data — Philemon-TSH Real Dataset Experiment
# Generated by m161_m162_real_dataset_experiment.cpp
# Datasets: email-Enron (SNAP), wiki-Vote (SNAP)
#
# Table 3a: Real Dataset Algorithm Latency (ms)
dataset,vertices,edges,algo,system,latency_ms,reachable,extra
wiki-Vote,7115,103689,BFS,CSR,0.21,2316,
wiki-Vote,7115,103689,BFS,Philemon,0.19,2316,switches=0
wiki-Vote,7115,103689,PR,CSR,2.54,7115,iters=20
wiki-Vote,7115,103689,PR,Philemon,4.46,7115,iters=20;L1=2.15e-05;Linf=2.88e-07
wiki-Vote,7115,103689,SSSP,CSR,0.93,2316,
wiki-Vote,7115,103689,SSSP,Philemon,0.97,2316,relaxations=58028
wiki-Vote,7115,103689,WCC,CSR,0.70,7115,
wiki-Vote,7115,103689,WCC,Philemon,1.28,7115,components=24
email-Enron,36692,735324,BFS,CSR,2.51,33696,
email-Enron,36692,735324,BFS,Philemon,2.10,33696,switches=2
email-Enron,36692,735324,PR,CSR,16.58,36692,iters=20
email-Enron,36692,735324,PR,Philemon,27.40,36692,iters=20;L1=2.79e-03;Linf=4.08e-04
email-Enron,36692,735324,SSSP,CSR,15.93,33696,
email-Enron,36692,735324,SSSP,Philemon,18.82,33696,relaxations=723244
email-Enron,36692,735324,WCC,CSR,4.95,36692,
email-Enron,36692,735324,WCC,Philemon,7.52,36692,components=1065
#
# Table 3b: Tier Distribution
dataset,vertices,total_edges,tier_dram,tier_ssd,tier_hdd,pct_dram,pct_ssd,pct_hdd
wiki-Vote,7115,103689,66680,34627,2382,64.3,33.4,2.3
email-Enron,36692,735324,460288,252614,22422,62.6,34.4,3.0
#
# Table 3c: Slowdown + Memory
dataset,bfs_slowdown,pr_slowdown,sssp_slowdown,wcc_slowdown,rss_mb
wiki-Vote,0.89,1.75,1.04,1.84,11.2
email-Enron,0.84,1.65,1.18,1.52,92.9
