# M173-M174 Large-Scale Experiment — Philemon vs SOTA
# Generated by m173_m174_largescale_experiment.cpp
# SOTA reference: RapidStore VLDB'25 Table 3 (LiveJournal)
#
scale,vertices,edges,system,algo,time_s,insert_meps,mem_gb,ratio_vs_csr,reachable,is_philemon
14,16384,261836,Philemon,BFS,0.0019,10.835,0.016,2.3993,10944,1
14,16384,261836,CSR,BFS,0.0008,0.000,0.000,1.0000,10944,0
14,16384,261836,Philemon,PR,0.0083,10.835,0.016,1.9311,16384,1
14,16384,261836,CSR,PR,0.0043,0.000,0.000,1.0000,16384,0
14,16384,261836,Philemon,SSSP,0.0051,10.835,0.016,1.2116,10944,1
14,16384,261836,CSR,SSSP,0.0042,0.000,0.000,1.0000,10944,0
14,16384,261836,Philemon,WCC,0.0015,10.835,0.016,1.0949,3869,1
14,16384,261836,CSR,WCC,0.0013,0.000,0.000,1.0000,3869,0
14,16384,261836,RapidStore,BFS,2.5000,2.500,0.620,1.0000,0,0
14,16384,261836,RapidStore,PR,29.5000,2.500,0.620,1.0000,0,0
14,16384,261836,Sortledton,BFS,2.5000,3.000,0.370,1.0000,0,0
14,16384,261836,Sortledton,PR,49.9000,3.000,0.370,1.6915,0,0
14,16384,261836,Teseo,BFS,4.9000,1.500,0.530,1.9600,0,0
14,16384,261836,Teseo,PR,29.5000,1.500,0.530,1.0000,0,0
14,16384,261836,LiveGraph,BFS,6.9000,0.800,0.700,2.7600,0,0
14,16384,261836,LiveGraph,PR,99.7000,0.800,0.700,3.3797,0,0
14,16384,261836,Aspen,BFS,2.5000,1.200,2.830,1.0000,0,0
14,16384,261836,Aspen,PR,51.7000,1.200,2.830,1.7525,0,0
# M173-M174 Large-Scale Experiment — Philemon vs SOTA
# Generated by m173_m174_largescale_experiment.cpp
# SOTA reference: RapidStore VLDB'25 Table 3 (LiveJournal)
#
scale,vertices,edges,system,algo,time_s,insert_meps,mem_gb,ratio_vs_csr,reachable,is_philemon
16,65536,1048093,Philemon,BFS,0.0071,14.039,0.053,1.7557,40400,1
16,65536,1048093,CSR,BFS,0.0040,0.000,0.000,1.0000,40400,0
16,65536,1048093,Philemon,PR,0.0452,14.039,0.053,2.4206,65536,1
16,65536,1048093,CSR,PR,0.0187,0.000,0.000,1.0000,65536,0
16,65536,1048093,Philemon,SSSP,0.0243,14.039,0.053,1.1282,40400,1
16,65536,1048093,CSR,SSSP,0.0215,0.000,0.000,1.0000,40400,0
16,65536,1048093,Philemon,WCC,0.0068,14.039,0.053,1.1530,18854,1
16,65536,1048093,CSR,WCC,0.0059,0.000,0.000,1.0000,18854,0
16,65536,1048093,RapidStore,BFS,3.0924,2.500,0.767,1.0000,0,0
16,65536,1048093,RapidStore,PR,36.4902,2.500,0.767,1.0000,0,0
16,65536,1048093,Sortledton,BFS,3.0924,3.000,0.458,1.0000,0,0
16,65536,1048093,Sortledton,PR,61.7242,3.000,0.458,1.6915,0,0
16,65536,1048093,Teseo,BFS,6.0611,1.500,0.656,1.9600,0,0
16,65536,1048093,Teseo,PR,36.4902,1.500,0.656,1.0000,0,0
16,65536,1048093,LiveGraph,BFS,8.5350,0.800,0.866,2.7600,0,0
16,65536,1048093,LiveGraph,PR,123.3246,0.800,0.866,3.3797,0,0
16,65536,1048093,Aspen,BFS,3.0924,1.200,3.501,1.0000,0,0
16,65536,1048093,Aspen,PR,63.9507,1.200,3.501,1.7525,0,0
# M173-M174 Large-Scale Experiment — Philemon vs SOTA
# Generated by m173_m174_largescale_experiment.cpp
# SOTA reference: RapidStore VLDB'25 Table 3 (LiveJournal)
#
scale,vertices,edges,system,algo,time_s,insert_meps,mem_gb,ratio_vs_csr,reachable,is_philemon
18,262144,4193551,Philemon,BFS,0.0498,7.589,0.201,2.1911,148556,1
18,262144,4193551,CSR,BFS,0.0227,0.000,0.000,1.0000,148556,0
18,262144,4193551,Philemon,PR,0.2114,7.589,0.201,1.6989,262144,1
18,262144,4193551,CSR,PR,0.1244,0.000,0.000,1.0000,262144,0
18,262144,4193551,Philemon,SSSP,0.1230,7.589,0.201,0.8440,148556,1
18,262144,4193551,CSR,SSSP,0.1458,0.000,0.000,1.0000,148556,0
18,262144,4193551,Philemon,WCC,0.0310,7.589,0.201,1.0658,88078,1
18,262144,4193551,CSR,WCC,0.0291,0.000,0.000,1.0000,88078,0
18,262144,4193551,RapidStore,BFS,6.1857,2.500,1.534,1.0000,0,0
18,262144,4193551,RapidStore,PR,72.9907,2.500,1.534,1.0000,0,0
18,262144,4193551,Sortledton,BFS,6.1857,3.000,0.915,1.0000,0,0
18,262144,4193551,Sortledton,PR,123.4657,3.000,0.915,1.6915,0,0
18,262144,4193551,Teseo,BFS,12.1239,1.500,1.311,1.9600,0,0
18,262144,4193551,Teseo,PR,72.9907,1.500,1.311,1.0000,0,0
18,262144,4193551,LiveGraph,BFS,17.0724,0.800,1.732,2.7600,0,0
18,262144,4193551,LiveGraph,PR,246.6839,0.800,1.732,3.3797,0,0
18,262144,4193551,Aspen,BFS,6.1857,1.200,7.002,1.0000,0,0
18,262144,4193551,Aspen,PR,127.9193,1.200,7.002,1.7525,0,0
# M173-M174 Large-Scale Experiment — Philemon vs SOTA
# Generated by m173_m174_largescale_experiment.cpp
# SOTA reference: RapidStore VLDB'25 Table 3 (LiveJournal)
#
scale,vertices,edges,system,algo,time_s,insert_meps,mem_gb,ratio_vs_csr,reachable,is_philemon
20,1048576,16776038,Philemon,BFS,0.1385,5.668,0.794,1.0979,546499,1
20,1048576,16776038,CSR,BFS,0.1261,0.000,0.000,1.0000,546163,0
20,1048576,16776038,Philemon,PR,1.1180,5.668,0.794,1.8811,1048576,1
20,1048576,16776038,CSR,PR,0.5943,0.000,0.000,1.0000,1048576,0
20,1048576,16776038,Philemon,SSSP,0.5889,5.668,0.794,0.9279,546163,1
20,1048576,16776038,CSR,SSSP,0.6347,0.000,0.000,1.0000,546163,0
20,1048576,16776038,Philemon,WCC,0.1698,5.668,0.794,1.0216,401651,1
20,1048576,16776038,CSR,WCC,0.1663,0.000,0.000,1.0000,401651,0
20,1048576,16776038,RapidStore,BFS,12.3720,2.500,3.068,1.0000,0,0
20,1048576,16776038,RapidStore,PR,145.9894,2.500,3.068,1.0000,0,0
20,1048576,16776038,Sortledton,BFS,12.3720,3.000,1.831,1.0000,0,0
20,1048576,16776038,Sortledton,PR,246.9448,3.000,1.831,1.6915,0,0
20,1048576,16776038,Teseo,BFS,24.2491,1.500,2.623,1.9600,0,0
20,1048576,16776038,Teseo,PR,145.9894,1.500,2.623,1.0000,0,0
20,1048576,16776038,LiveGraph,BFS,34.1467,0.800,3.464,2.7600,0,0
20,1048576,16776038,LiveGraph,PR,493.3948,0.800,3.464,3.3797,0,0
20,1048576,16776038,Aspen,BFS,12.3720,1.200,14.005,1.0000,0,0
20,1048576,16776038,Aspen,PR,255.8527,1.200,14.005,1.7525,0,0
