# M177-M178 Paper Data — Streaming + Compaction Experiment (RQ5)
# Generated by m177_m178_streaming_compaction.cpp
# Config: flushes=128 parts_per_flush=20 edges_per_part=2500
#
# Section 1: Per-flush latency trace
flush,segment_count,total_partitions,total_edges,flush_lat_us,sel_lat_us,sel_p99_us,compact,compact_lat_ms,mismatches,tier_dram_hits,tier_ssd_hits,tier_hdd_hits,rss_mb
0,1,20,50000,1.299,1.422,11.318,0,0.0000,0,300,400,300,4.5
1,2,40,100000,2.060,3.242,4.483,0,0.0000,0,550,850,600,4.5
2,3,60,150000,1.188,5.582,14.915,0,0.0000,0,950,1150,900,4.5
3,4,80,200000,1.236,4.100,5.724,0,0.0000,0,950,1300,750,4.5
4,5,100,250000,0.921,4.760,5.593,0,0.0000,0,800,1350,850,4.5
5,6,120,300000,0.734,5.826,11.082,0,0.0000,0,500,1600,900,4.5
6,7,140,350000,0.752,6.695,26.793,0,0.0000,0,450,1450,1100,4.5
7,1,160,400000,6.942,8.381,41.677,1,0.0059,0,2100,350,550,4.5
8,2,180,450000,0.872,8.640,31.940,0,0.0000,0,1250,900,850,4.5
9,3,200,500000,0.846,8.385,11.445,0,0.0000,0,400,1400,1200,4.5
10,4,220,550000,0.715,8.358,29.877,0,0.0000,0,350,1650,1000,4.5
11,5,240,600000,0.816,9.393,56.154,0,0.0000,0,250,1800,950,4.5
12,6,260,650000,0.971,9.793,29.179,0,0.0000,0,300,1850,850,4.5
13,7,280,700000,0.919,9.559,9.964,0,0.0000,0,450,1850,700,4.5
14,1,300,750000,14.670,13.938,44.875,1,0.0136,0,2250,550,200,4.5
15,2,320,800000,0.927,13.125,34.561,0,0.0000,0,1550,1100,350,4.5
16,3,340,850000,0.946,12.013,16.293,0,0.0000,0,900,1400,700,4.5
17,4,360,900000,0.704,11.060,33.537,0,0.0000,0,800,1250,950,4.5
18,5,380,950000,0.878,11.841,31.090,0,0.0000,0,800,1200,1000,4.5
19,6,400,1000000,0.880,12.065,15.248,0,0.0000,0,650,1500,850,4.5
20,7,420,1050000,0.740,13.680,46.760,0,0.0000,0,800,1600,600,4.5
21,1,440,1100000,15.006,20.113,68.262,1,0.0138,0,2100,400,500,4.5
22,2,460,1150000,4.393,17.896,39.319,0,0.0000,0,1250,950,800,4.6
23,3,480,1200000,0.909,17.052,53.598,0,0.0000,0,400,1600,1000,4.6
24,4,500,1250000,0.872,14.180,34.208,0,0.0000,0,550,1650,800,4.6
25,5,520,1300000,0.924,16.059,48.070,0,0.0000,0,550,1600,850,4.6
26,6,540,1350000,0.849,15.494,19.888,0,0.0000,0,650,1250,1100,4.6
27,7,560,1400000,0.715,23.017,86.239,0,0.0000,0,550,1250,1200,4.6
28,1,580,1450000,21.448,48.161,83.411,1,0.0197,0,2000,700,300,4.6
29,2,600,1500000,1.414,43.526,76.101,0,0.0000,0,1350,1150,500,4.6
30,3,620,1550000,1.053,25.913,81.932,0,0.0000,0,400,1800,800,4.6
31,4,640,1600000,0.963,20.829,37.179,0,0.0000,0,650,1450,900,4.6
32,5,660,1650000,0.904,20.808,39.823,0,0.0000,0,600,1550,850,4.6
33,6,680,1700000,0.861,21.824,47.834,0,0.0000,0,650,1650,700,4.6
