# M179-M180 Final Summary — Philemon-TSH ATC'26
# Generated by m179_m180_final_integration.cpp
#
# Central claim metrics
metric,value
avg_bfs_retention_pct,110.6
avg_pr_retention_pct,67.9
avg_sssp_retention_pct,89.2
memory_ratio_vs_csr,8.987
meets_90pct_performance_claim,1
meets_third_memory_claim,0
#
# Compaction spike stats (from m177)
compaction_count,18
compaction_min_ms,0.0059
compaction_max_ms,0.0908
compaction_mean_ms,0.0389
compaction_in_target_range,1
#
# Data coverage
rmat_latency_records,30
real_latency_records,20
neograph_records,9
largescale_records,72
tiered_mem_records,2
streaming_records,128
compaction_records,18
#
# Regression
regression_pass,44
regression_fail,0
regression_total,44
